Rank,Title,Release Year,Rating,Genres,Plot
107,Double Indemnity,1944,8.3,"Crime, Drama, Film-Noir","A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
108,Scarface,1983,8.3,"Crime, Drama","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
109,Le fabuleux destin d'Amélie Poulain,2001,8.3,"Comedy, Romance","Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
110,Full Metal Jacket,1987,8.3,"Drama, War",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
111,Heat,1995,8.3,"Action, Crime, Drama",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
112,A Clockwork Orange,1971,8.3,"Crime, Sci-Fi","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
113,Up,2009,8.3,"Animation, Adventure, Comedy","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
114,To Kill a Mockingbird,1962,8.3,"Crime, Drama","Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
115,The Sting,1973,8.3,"Comedy, Crime, Drama",Two grifters team up to pull off the ultimate con.
116,Jodaeiye Nader az Simin,2011,8.3,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
117,Indiana Jones and the Last Crusade,1989,8.2,"Action, Adventure","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
118,Die Hard,1988,8.2,"Action, Thriller",A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
119,Metropolis,1927,8.3,"Drama, Sci-Fi","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
120,Taare Zameen Par,2007,8.3,"Drama, Family","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
121,Snatch,2000,8.2,"Comedy, Crime","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
122,Hamilton,2020,8.3,"Biography, Drama, History","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
123,L.A. Confidential,1997,8.2,"Crime, Drama, Mystery","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
124,1917,2019,8.2,"Action, Drama, War","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
125,Ladri di biciclette,1948,8.3,Drama,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
126,Taxi Driver,1976,8.2,"Crime, Drama","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
127,Der Untergang,2004,8.2,"Biography, Drama, History","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
